ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x013200,78336,0,33,0x014E36,0x02CE36,85558
0x013200,78336,1,67,0x014E58,0x02CE58,85592
0x013200,78336,2,6,0x015BE0,0x02DBE0,89056
0x013200,78336,3,36,0x015C4C,0x02DC4C,89164
0x013200,78336,4,6,0x015C70,0x02DC70,89200
0x013200,78336,5,6,0x015C9B,0x02DC9B,89243
0x013200,78336,6,6,0x015CBB,0x02DCBB,89275
0x013200,78336,7,3,0x015CE4,0x02DCE4,89316
0x013200,78336,8,3,0x015D39,0x02DD39,89401
0x013200,78336,9,3,0x015D71,0x02DD71,89457
0x013200,78336,10,3,0x015D9D,0x02DD9D,89501
0x013200,78336,11,8,0x015DB3,0x02DDB3,89523
0x013200,78336,12,3,0x015DB8,0x02DDB8,89528
0x013200,78336,13,31,0x015DDE,0x02DDDE,89566
0x013200,78336,14,31,0x015DDE,0x02DDDE,89566
0x013200,78336,15,31,0x015DDE,0x02DDDE,89566
0x013200,78336,16,31,0x015DDE,0x02DDDE,89566
0x013200,78336,17,33,0x015DFE,0x02DDFE,89598
0x013200,78336,18,34,0x015E20,0x02DE20,89632
0x013200,78336,19,33,0x015E43,0x02DE43,89667
0x013200,78336,20,35,0x015E65,0x02DE65,89701
0x013200,78336,21,34,0x015E89,0x02DE89,89737
0x013200,78336,22,39,0x015EAC,0x02DEAC,89772
0x013200,78336,23,32,0x015ED4,0x02DED4,89812
0x013200,78336,24,6,0x015EF5,0x02DEF5,89845
0x013200,78336,25,6,0x015EF5,0x02DEF5,89845
0x013200,78336,26,6,0x015EF5,0x02DEF5,89845
0x013200,78336,27,39,0x015F0B,0x02DF0B,89867
0x013200,78336,28,3,0x015F32,0x02DF32,89906
0x013200,78336,29,3,0x015F47,0x02DF47,89927
0x013200,78336,30,37,0x015F72,0x02DF72,89970
0x013200,78336,31,48,0x0160A9,0x02E0A9,90281
0x013200,78336,32,27,0x0160BE,0x02E0BE,90302
0x013200,78336,33,12,0x016120,0x02E120,90400
0x013200,78336,34,221,0x01623B,0x02E23B,90683
0x013200,78336,35,3,0x016318,0x02E318,90904
0x013200,78336,36,3,0x016332,0x02E332,90930
0x013200,78336,37,40,0x01635E,0x02E35E,90974
0x013200,78336,38,6,0x016387,0x02E387,91015
0x013200,78336,39,29,0x0163F5,0x02E3F5,91125
0x013200,78336,40,3,0x016413,0x02E413,91155
0x013200,78336,41,3,0x016427,0x02E427,91175
0x013200,78336,42,32,0x016473,0x02E473,91251
0x013200,78336,43,3,0x016494,0x02E494,91284
0x013200,78336,44,194,0x0164B4,0x02E4B4,91316
0x013200,78336,45,161,0x0164D5,0x02E4D5,91349
0x013200,78336,46,161,0x0164D5,0x02E4D5,91349
0x013200,78336,47,161,0x0164D5,0x02E4D5,91349
0x013200,78336,48,161,0x0164D5,0x02E4D5,91349
0x013200,78336,49,161,0x0164D5,0x02E4D5,91349
0x013200,78336,50,161,0x0164D5,0x02E4D5,91349
0x013200,78336,51,161,0x0164D5,0x02E4D5,91349
0x013200,78336,52,161,0x0164D5,0x02E4D5,91349
0x013200,78336,53,161,0x0164D5,0x02E4D5,91349
0x013200,78336,54,161,0x0164D5,0x02E4D5,91349
0x013200,78336,55,161,0x0164D5,0x02E4D5,91349
